datetime	lat	long	alt	vel_x	vel_y	vel_z	acc_x	elevation	source	location	vehicle	device	freq	sig_strength	sig_strength_Dbm		
36:14.6	33.15049897	-116.6602448	30.58166504	4.910241604	-9.669727325	-0.306246549		30.58166504	0	1	0	0	470.309	-14.898638	-62.98177983		
36:17.1	33.15058349	-116.6604835	30.65637207	3.376419067	-8.911822319	0.27633962		30.65637207	0	1	0	0	470.309	-15.868122	-63.95708073		
36:19.5	33.15065766	-116.660698	30.29882812	3.01213336	-5.245515347	0.401090324		30.29882812	0	1	0	0	470.309	-20.967001	-69.08655301		
36:21.9	33.15068671	-116.6607703	30.9263916	2.113754034	-3.594858408	-0.202245966		30.9263916	0	1	0	0	470.309	-19.802059	-67.91462135		
36:24.3	33.15074335	-116.660867	30.87695313	2.559640646	-3.750042915	-0.131638959		30.87695313	0	1	0	0	470.309	-18.292969	-66.39647681		
36:26.7	33.15079053	-116.6609533	30.91882324	1.701268435	-3.166540861	0.104602985		30.91882324	0	1	0	0	470.309	-19.776276	-67.88868366		
36:29.1	33.1508013	-116.6609937	31.02832031	0.337502688	-1.326147676	-0.247525185		31.02832031	0	1	0	0	470.309	-19.432484	-67.5428289		
36:31.5	33.15082076	-116.6610519	30.94128418	1.38674593	-3.637676001	-0.157950222		30.94128418	0	1	0	0	470.309	-19.358337	-67.46823702		
36:33.9	33.15086536	-116.6611634	30.80639648	2.400231123	-5.17429924	-0.049876675		30.80639648	0	1	0	0	470.309	-20.10564	-68.22002384		
36:36.3	33.15092813	-116.6613161	30.82348633	3.44752121	-7.051568508	-0.10710106		30.82348633	0	1	0	0	470.309	-19.353905	-67.46377843		
36:38.7	33.15101274	-116.6615236	30.43359375	4.119898319	-8.71490097	-0.348536462		30.43359375	0	1	0	0	470.309	-18.701536	-66.80749522		
36:41.0	33.15109893	-116.6617638	30.5201416	4.524176121	-10.41386318	0.24289006		30.5201416	0	1	0	0	470.309	-19.03055	-67.1384833		
36:43.4	33.15120278	-116.6620333	30.69921875	4.935256958	-10.19950008	-0.100703843		30.69921875	0	1	0	0	470.309	-15.98674	-64.07641044		
36:45.8	33.15131144	-116.6622975	30.90014648	5.041240692	-10.57708073	0.340984046		30.90014648	0	1	0	0	470.309	-18.06287	-66.16499722		
36:48.3	33.15139156	-116.6625286	31.2286377	2.028434992	-5.983377457	0.379783988		31.2286377	0	1	0	0	470.309	-18.142962	-66.24556977		
